,COEFS,VARIABLES
112,0.17040430321662667,CRS_DEP_TIME_23
113,0.0,ORIGIN_AIRPORT_CLASS_0.0
114,-0.011562148032110685,ORIGIN_AIRPORT_CLASS_1.0
115,0.011562148032126343,ORIGIN_AIRPORT_CLASS_2.0
116,0.0,ORIGIN_AIRPORT_CLASS_3.0
117,0.0,ORIGIN_AIRPORT_CLASS_4.0
118,-0.3327864998359139,DEST_AIRPORT_CLASS_0.0
119,-0.37657589143457826,DEST_AIRPORT_CLASS_1.0
120,-0.21529843232873347,DEST_AIRPORT_CLASS_2.0
121,0.40943005980730524,DEST_AIRPORT_CLASS_3.0
122,0.39930424015470006,DEST_AIRPORT_CLASS_4.0
123,0.009196177701371292,DEST_AIRPORT_CLASS_5.0
124,-0.36379094355313857,DISTANCE
125,0.09644280232770429,NB_FLIGHT_ARR_SAME_HOUR
126,0.5160487478244621,NB_FLIGHT_DEP_SAME_HOUR
